Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4
AMSGrad|0.6072500000000001|0.5970500000000001|0.589|0.58595|0.000636396103067862|0.0017677669529663704|0.0016970562748476843|0.0017677669529663704
AMSGradCurvature|0.6072500000000001|0.5970500000000001|0.589|0.58595|0.000636396103067862|0.0017677669529663704|0.0016970562748476843|0.0017677669529663704
Adadelta|0.64415|0.6171|0.6095999999999999|0.6078|0.03174909447527594|0.009050966799187871|0.003394112549695486|0.0012727922061358025
AdadeltaCurvature|0.65785|0.63185|0.61895|0.6134|0.04348706704297263|0.021425335469952386|0.010394469683442204|0.005091168824543171
Adagrad|0.6071|0.6049|0.6035999999999999|0.60365|0.001838477631085096|0.0011313708498985084|0.0009899494936611753|7.071067811864696e-05
Adam|0.60755|0.59755|0.58905|0.58615|0.0010606601717797438|0.002474873734152958|0.0016263455967290372|0.0014849242404917824
AdamCurvature|0.6089|0.6009|0.59565|0.593825|0.0027667670664513686|0.00429029913487004|0.007841981042228175|0.00906729470864015
AdamW|0.60755|0.59975|0.5905499999999999|0.58655|0.0010606601717797438|0.005586143571373738|0.0004949747468306465|0.0009192388155425676
AdamWCurvature|0.60755|0.5994999999999999|0.58995|0.5864|0.0010606601717797438|0.005232590180780464|0.00035355339059323483|0.0011313708498985084
HeavyBall|0.6079|0.6047|0.60215|0.6007|0.0014142135623730963|0.0011313708498985084|0.0003535533905933526|0.00028284271247458785
HeavyBallCurvature|0.609|0.60825|0.60705|0.6082000000000001|0.00042426406871188177|0.00021213203435605866|0.002474873734152958|0.0008485281374238814
NAG|0.6079|0.6047|0.60215|0.6007|0.0014142135623730963|0.0011313708498985084|0.0003535533905933526|0.00028284271247458785
NAGCurvature|0.609|0.6083000000000001|0.60825|0.6084499999999999|0.00042426406871188177|0.00014142135623733317|0.001626345596729155|0.0003535533905933526
NAdam|0.6129|0.60905|0.6090500000000001|0.60925|0.0045254833995938765|7.071067811864696e-05|0.000494974746830568|7.071067811864696e-05
NAdamCurvature|0.6129|0.60815|0.6076|0.6059|0.0045254833995938765|0.0010606601717798223|0.0016970562748476843|0.004101219330881995
NAdamW|0.6128|0.6093500000000001|0.6091500000000001|0.6091|0.004666904755831171|0.0006363961030679405|0.000636396103067862|0.00014142135623729392
NAdamWCurvature|0.6128|0.61025|0.60715|0.605|0.004666904755831171|0.0017677669529663704|0.0030405591591021333|0.006363961030678973
RMSProp|0.60715|0.599|0.5941000000000001|0.59245|0.0028991378028648397|0.0012727922061358025|0.0002828427124746271|0.0013435028842544493
RMSPropCurvature|0.6088|0.59615|0.58955|0.58665|0.0011313708498985084|0.0012020815280171162|0.00035355339059323483|0.0016263455967290372
RMSPropMomentum|0.6084|0.5988|0.59055|0.5869|0.0015556349186104294|0.005656854249492385|0.0010606601717798615|0.0007071067811865089
RMSPropMomentumCurvature|0.60835|0.5986|0.5904|0.5869|0.0019091883092037427|0.005515432893255091|0.0008485281374238028|0.0008485281374238028
SimpleSGD|0.6111500000000001|0.60605|0.6053|0.6056|0.0034648232278140546|0.0007778174593052343|0.0008485281374238814|0.00014142135623729392
SimpleSGDCurvature|0.6089|0.6061|0.6009|0.599|0.00014142135623729392|0.0015556349186103902|0.0026870057685088986|0.00042426406871199957
