Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1
AMSGrad|0.9605|0.033234018715767685
AMSGradCurvature|0.9413|
Adadelta|1.79755|0.05847773080412748
AdadeltaCurvature|1.62725|0.03599173516239531
Adagrad|0.7798|0.0011313708498983906
AdagradCurvature|0.7608999999999999|0.001979898987322311
Adam|0.95595|0.015909902576697294
AdamCurvature|0.93805|0.01378858223313761
AdamW|0.94845|0.0224152849636136
AdamWCurvature|0.9298|
HeavyBall|1.04635|0.015061374439273452
HeavyBallCurvature|1.1379000000000001|0.011879393923934181
NAG|1.0319|0.02489015869776656
NAGCurvature|1.17855|0.03090056633785202
NAdam|1.1035|0.008768124086713167
NAdamCurvature|1.09|0.025880108191427616
NAdamW|1.1033|0.01711198410471445
NAdamWCurvature|1.07625|0.007000357133746834
RMSProp|1.14715|0.044335595180396745
RMSPropCurvature|1.14445|0.020576807332528622
RMSPropMomentum|1.12945|0.009970205614730322
RMSPropMomentumCurvature|1.1560000000000001|0.06038691911333118
SimpleSGD|1.6320000000000001|0.03889087296525999
SimpleSGDCurvature|1.1644999999999999|0.03167838379715737
